,subject,epochtype,prev_keystrokes,amp
0,05,first,3.0,4.541367616184289e-06
0,05,first,4.0,-1.6622639830327695e-05
0,05,first,15.0,-8.810330503668714e-06
0,05,first,16.0,3.3115631039335212e-06
0,05,first,3.0,-5.792823786679138e-06
0,05,first,1.0,-1.787080014360577e-05
0,05,first,9.0,-2.657251602360904e-06
0,05,first,10.0,-1.1736685236327401e-05
0,05,first,2.0,-1.0441388339030607e-05
0,05,first,0.0,3.377276136183759e-06
0,06,first,0.0,-1.098897215949061e-05
0,06,first,8.0,-5.815965430934335e-06
0,06,first,5.0,-4.508756041509008e-06
0,06,first,4.0,-5.411869576871848e-06
0,06,first,5.0,-4.933846595475997e-07
0,06,first,10.0,-2.2595104635709304e-06
0,06,first,2.0,-9.480971382597798e-06
0,06,first,9.0,-1.4144576703579838e-05
0,06,first,6.0,1.8809801379878383e-05
0,06,first,2.0,2.445334947272689e-06
0,06,first,5.0,1.978475143320995e-06
0,06,first,15.0,-1.4423240170597435e-06
0,06,first,11.0,-4.937357794511223e-06
0,06,first,2.0,1.7414534037622314e-05
0,06,first,4.0,-1.407039821464827e-05
0,06,first,14.0,2.1609861309773096e-06
0,06,first,20.0,-1.2468584616145663e-06
0,06,first,17.0,9.237274660733874e-07
0,06,first,2.0,-6.369874123871948e-06
0,06,first,10.0,-1.202381028835791e-05
0,06,first,19.0,3.2197575466044427e-06
0,06,first,11.0,-1.9918750492959385e-05
0,06,first,5.0,5.87612218320525e-06
0,06,first,4.0,-8.679140086719093e-06
0,06,first,17.0,2.867317155930138e-07
0,06,first,18.0,-3.957529341076022e-06
0,06,first,5.0,5.2407477824090165e-06
0,06,first,2.0,-2.9260069551481947e-06
0,06,first,7.0,-1.1565277721577635e-05
0,06,first,17.0,1.0099414794240147e-05
0,06,first,19.0,1.0615555210178072e-06
0,06,first,12.0,5.662319634009489e-06
0,06,first,3.0,-5.595623902207889e-06
0,06,first,11.0,1.2640305309711644e-05
0,06,first,8.0,6.130774459557466e-06
0,06,first,6.0,-2.2366279021449978e-07
0,06,first,0.0,2.244148001611595e-05
0,06,first,0.0,-9.024307030042817e-07
0,06,first,0.0,-1.3043997619711768e-05
0,07,first,0.0,7.32736207788144e-06
0,07,first,8.0,-7.451574775687833e-06
0,07,first,3.0,3.873851025244019e-06
0,07,first,4.0,4.568461869148956e-06
0,07,first,5.0,-7.885210076589525e-06
0,07,first,12.0,7.944679257181835e-07
